episode,global_step,sub_run_index,returns,episode_length
3150,73929,eval_idx03,26.0,26
3150,73929,eval_idx04,27.0,27
3150,73929,eval_idx05,21.0,21
3150,73929,eval_idx06,26.0,26
3150,73929,eval_idx07,32.0,32
3150,73929,eval_idx08,23.0,23
3150,73929,eval_idx09,21.0,21
3200,75492,eval_idx00,28.0,28
3200,75492,eval_idx01,33.0,33
3200,75492,eval_idx02,29.0,29
3200,75492,eval_idx03,28.0,28
3200,75492,eval_idx04,28.0,28
3200,75492,eval_idx05,24.0,24
3200,75492,eval_idx06,28.0,28
3200,75492,eval_idx07,37.0,37
3200,75492,eval_idx08,24.0,24
3200,75492,eval_idx09,23.0,23
3250,77114,eval_idx00,24.0,24
3250,77114,eval_idx01,32.0,32
3250,77114,eval_idx02,25.0,25
3250,77114,eval_idx03,26.0,26
3250,77114,eval_idx04,27.0,27
3250,77114,eval_idx05,21.0,21
3250,77114,eval_idx06,25.0,25
3250,77114,eval_idx07,32.0,32
3250,77114,eval_idx08,23.0,23
3250,77114,eval_idx09,21.0,21
3300,78601,eval_idx00,24.0,24
3300,78601,eval_idx01,32.0,32
3300,78601,eval_idx02,25.0,25
3300,78601,eval_idx03,26.0,26
3300,78601,eval_idx04,27.0,27
3300,78601,eval_idx05,21.0,21
3300,78601,eval_idx06,25.0,25
3300,78601,eval_idx07,32.0,32
3300,78601,eval_idx08,23.0,23
3300,78601,eval_idx09,21.0,21
3350,80339,eval_idx00,30.0,30
3350,80339,eval_idx01,36.0,36
3350,80339,eval_idx02,32.0,32
3350,80339,eval_idx03,32.0,32
3350,80339,eval_idx04,30.0,30
3350,80339,eval_idx05,27.0,27
3350,80339,eval_idx06,32.0,32
3350,80339,eval_idx07,52.0,52
3350,80339,eval_idx08,26.0,26
3350,80339,eval_idx09,24.0,24
3400,81744,eval_idx00,26.0,26
3400,81744,eval_idx01,36.0,36
3400,81744,eval_idx02,29.0,29
3400,81744,eval_idx03,28.0,28
3400,81744,eval_idx04,28.0,28
3400,81744,eval_idx05,24.0,24
3400,81744,eval_idx06,28.0,28
3400,81744,eval_idx07,40.0,40
3400,81744,eval_idx08,24.0,24
3400,81744,eval_idx09,23.0,23
3450,83196,eval_idx00,23.0,23
3450,83196,eval_idx01,32.0,32
3450,83196,eval_idx02,25.0,25
3450,83196,eval_idx03,26.0,26
3450,83196,eval_idx04,27.0,27
3450,83196,eval_idx05,20.0,20
3450,83196,eval_idx06,25.0,25
3450,83196,eval_idx07,32.0,32
3450,83196,eval_idx08,23.0,23
3450,83196,eval_idx09,20.0,20
3500,84502,eval_idx00,24.0,24
3500,84502,eval_idx01,33.0,33
3500,84502,eval_idx02,25.0,25
3500,84502,eval_idx03,26.0,26
3500,84502,eval_idx04,27.0,27
3500,84502,eval_idx05,21.0,21
3500,84502,eval_idx06,25.0,25
3500,84502,eval_idx07,34.0,34
3500,84502,eval_idx08,23.0,23
3500,84502,eval_idx09,21.0,21
3550,85968,eval_idx00,24.0,24
3550,85968,eval_idx01,33.0,33
3550,85968,eval_idx02,25.0,25
3550,85968,eval_idx03,26.0,26
3550,85968,eval_idx04,27.0,27
3550,85968,eval_idx05,21.0,21
3550,85968,eval_idx06,26.0,26
3550,85968,eval_idx07,35.0,35
3550,85968,eval_idx08,23.0,23
3550,85968,eval_idx09,21.0,21
3600,87152,eval_idx00,24.0,24
3600,87152,eval_idx01,33.0,33
3600,87152,eval_idx02,25.0,25
3600,87152,eval_idx03,26.0,26
3600,87152,eval_idx04,27.0,27
3600,87152,eval_idx05,21.0,21
3600,87152,eval_idx06,26.0,26
3600,87152,eval_idx07,35.0,35
3600,87152,eval_idx08,23.0,23
3600,87152,eval_idx09,21.0,21
3650,88526,eval_idx00,24.0,24
3650,88526,eval_idx01,33.0,33
3650,88526,eval_idx02,27.0,27
3650,88526,eval_idx03,26.0,26
3650,88526,eval_idx04,27.0,27
3650,88526,eval_idx05,21.0,21
3650,88526,eval_idx06,26.0,26
3650,88526,eval_idx07,35.0,35
3650,88526,eval_idx08,23.0,23
3650,88526,eval_idx09,21.0,21
